id,name,kilo_calorie,meals_id
1,味噌汁,62,1
2,牛乳,134,1
3,目玉焼き,86,1
4,じゃがいもの豚そぼろ煮,137,1
5,ふりかけ,15,1
6,漬物,1,1
7,ご飯,427,1
8,そば飯,629,2
9,ギョーザ,234,2
10,果物,19,2
11,チーズサラダ,19,2
12,スープ,14,2
13,鶏肉の七味焼,275,3
14,豆腐の野菜あん,66,3
15,マカロニツナサラダ,151,3
16,味噌汁,24,3
17,ご飯,427,3
18,味噌汁,41,4
19,牛乳,134,4
20,納豆,80,4
21,野菜ソテー,94,4
22,荒挽ウインナー,96,4
23,味付のり,14,4
24,ご飯,427,4
25,カツ丼,671,5
26,青梗菜としめじのごま和え,42,5
27,ヨーグルト,67,5
28,五目汁,63,5
29,白身魚のエスカベッシュ,240,6
30,ミートボールのクリーム煮,333,6
31,カットサラダ,23,6
32,味噌汁,50,6
33,ご飯,427,6
34,食パン,407,7
35,牛乳,134,7
36,スクランブルエッグ,99,7
37,味付け肉団子,114,7
38,サラダ,12,7
39,ワンタンスープ,74,7
40,そぼろちらし寿司,756,8
41,白和え,77,8
42,いかの天ぷら,121,8
43,れんこんのはさみ揚げ,131,8
44,果物,19,8
45,すまし汁,24,8
46,酢豚,289,9
47,小松菜のザーサイ和え,45,9
48,シュウマイ,97,9
49,フルーツポンチ,80,9
50,味噌汁,62,9
51,ご飯,427,9
52,味噌汁,27,10
53,牛乳,134,10
54,ししゃも,50,10
55,いり豆腐,137,10
56,のり佃煮,14,10
57,漬物,1,10
58,ご飯,427,10
59,カレーライス,865,11
60,牛乳,134,11
61,福神漬,14,11
62,棒チーズ,68,11
63,生野菜,23,11
64,ピーチゼリー,56,11
65,鶏のごま揚げ,341,12
66,炊き合わせ,115,12
67,もやしの中華和え,46,12
68,味噌汁,28,12
69,ご飯,427,12
70,味噌汁,59,13
71,牛乳,134,13
72,五目ひじき,123,13
73,鮭甘塩焼,80,13
74,ふりかけ,15,13
75,漬物,1,13
76,ご飯,427,13
77,チーズハンバーガー,328,14
78,ベーコンレタスバーガー,446,14
79,オレンジジュース,84,14
80,コールスロー,25,14
81,ハッシュポテト,132,14
82,プリン,126,14
83,豚肉ソテー,218,15
84,韓国風春雨の炒めもの,194,15
85,果物,12,15
86,豆腐と卵のスープ,53,15
87,ご飯,427,15
88,ロールパン,280,16
89,オムレツ,97,16
90,荒挽ウインナー,96,16
91,ベーコンと野菜のスープ,96,16
92,ご飯,249,16
93,七夕そうめん,347,17
94,星のコロッケ,268,17
95,がんもと小松菜煮,69,17
96,星型コーヒーゼリー,48,17
97,ご飯,249,17
98,鶏肉のさっぱり煮,368,18
99,ごぼうのごまマヨサラダ,81,18
100,果物,28,18
101,味噌汁,42,18
102,ご飯,427,18
103,豚汁,88,19
104,牛乳,134,19
105,コーンクリームフライ,138,19
106,納豆,80,19
107,味付のり,14,19
108,漬物,1,19
109,ご飯,427,19
110,菓子パン,541,20
111,バナナ,77,20
112,牛乳,134,20
113,カレー汁,210,20
114,ゆで豚のサラダ風,145,21
115,麻婆なす,196,21
116,フルーツヨーグルト,110,21
117,味噌汁,28,21
118,ご飯,427,21
