id,date,period,energy,protein,fat,carbohydrate,salt
1,20140629,breakfast,863,30,22,131,3.4
2,20140629,lunch,914,27,21,150,5.0
3,20140629,dinner,943,59,20,125,2.7
4,20140630,breakfast,886,35,27,125,3.4
5,20140630,lunch,843,36,31,99,5.4
6,20140630,dinner,1073,40,36,144,4.4
7,20140701,breakfast,839,33,37,93,4.9
8,20140701,lunch,1128,42,26,175,5.7
9,20140701,dinner,1000,31,28,153,5.3
10,20140702,breakfast,791,34,20,117,3.2
11,20140702,lunch,1159,34,25,194,3.5
12,20140702,dinner,957,56,24,124,4.2
13,20140703,breakfast,840,33,20,130,4.9
14,20140703,lunch,1141,43,48,137,4.5
15,20140703,dinner,904,32,25,130,4.6
16,20140704,breakfast,818,25,32,104,3.4
17,20140704,lunch,981,27,28,152,6.6
18,20140704,dinner,946,57,19,130,3.3
19,20140705,breakfast,883,32,26,129,2.4
20,20140705,lunch,962,29,38,128,3.9
21,20140705,dinner,906,36,20,138,3.9
